img_path,label_path,train_test,cerebellum_present_or_not,pixel_count,img_shapes
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_0.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_0.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_1.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_1.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_2.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_2.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_3.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_3.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_4.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_4.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_5.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_5.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_6.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_6.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_7.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_7.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_8.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_8.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_9.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_9.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_10.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_10.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_11.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_11.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_12.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_12.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_13.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_13.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_14.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_14.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_15.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_15.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_16.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_16.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_17.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_17.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_18.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_18.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_19.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_19.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_20.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_20.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_21.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_21.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_22.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_22.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_23.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_23.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_24.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_24.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_25.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_25.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_26.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_26.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_27.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_27.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_28.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_28.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_29.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_29.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_30.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_30.npy,True,0,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_31.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_31.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_32.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_32.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_33.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_33.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_34.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_34.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_35.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_35.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_36.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_36.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_37.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_37.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_38.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_38.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_39.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_39.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_40.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_40.npy,True,1,"(0, 0)","(256, 256)"
/home/shubham/Documents/in-meds-brain-segmentation/mris/I-ND00016_41.npy,/home/shubham/Documents/in-meds-brain-segmentation/cerebellum/I-ND00016_41.npy,True,1,"(0, 0)","(256, 256)"
